ID	FILE	AUTHOR	BORN-DIED	TITLE	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMELINE	URL
12442	12442.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	The Large Turf	1503	Watercolor and gouache on paper, 41 x 32 cm	Graphische Sammlung Albertina, Vienna	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/02turf.html
12443	12443.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Iris	c. 1503	Brush, pen, ink, watercolour and body-colour, height 77cm	Kunsthalle, Bremen	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/03iris.html
12444	12444.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Head of a Stag	c. 1503	Watercolour on paper, 227 x 160 mm	Musée Bonnat, Bayonne	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/04stag.html
12445	12445.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Quarry	1506	Watercolour and gouache on paper, 225 x 287 mm	British Museum, London	graphics	landscape	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/05quarry.html
12446	12446.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	The Little Owl	1506	Watercolour on paper	Graphische Sammlung Albertina, Vienna	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/06l_owl.html
12447	12447.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	The Imperial Crown	c. 1510	Pen drawing with watercolour, 238 x 289 mm	Kupferstichkabinett, Germanisches Nationalmuseum, Nuremberg	graphics	study	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/07crown.html
12448	12448.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	View of Kalchreut	c. 1511	Watercolour and gouache on paper, 216 x 314 mm	Kunsthalle, Bremen	graphics	landscape	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/08view.html
12449	12449.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Dead Bluebird	1512	Watercolour on paper, 280 x 200 mm	Graphische Sammlung Albertina, Vienna	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/09deadbi.html
12450	12450.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Wing of a Roller	1512	Watercolour and gouache on vellum, 20 x 20 cm	Graphische Sammlung Albertina, Vienna	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/10roller.html
12451	12451.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Cupid the Honey Thief	1514	Pen and ink and watercolour on paper, 22 x 31 cm	Kunsthistorisches Museum, Vienna	graphics	mythological	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/11cupid.html
12452	12452.jpg	DÜRER, Albrecht	(b. 1471, Nürnberg, d. 1528, Nürnberg)	Dream Vision	1525	Watercolour on paper, 30 x 43 cm	Kunsthistorisches Museum, Vienna	graphics	other	German	1501-1550	http://www.wga.hu/html/d/durer/2/16/2/12dream.html
12453	12453.jpg	DYCE, William	(b. 1806, Aberdeen, d. 1864, London)	The Virgin and Child	1845	Oil on canvas, 81 x 58 cm	Royal Collection, Windsor	painting	religious	Scottish	1801-1850	http://www.wga.hu/html/d/dyce/1virgin.html
12454	12454.jpg	DYCE, William	(b. 1806, Aberdeen, d. 1864, London)	St Joseph	1847	Oil on canvas, 79 x 55 cm	Royal Collection, Windsor	painting	religious	Scottish	1801-1850	http://www.wga.hu/html/d/dyce/2joseph.html
12455	12455.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Man in Armour with Red Scarf	1625-27	Oil on canvas, 90 x 70 cm	Gemäldegalerie, Dresden	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/armour.html
12456	12456.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Member of the Balbi Family	c. 1625	Oil on canvas, 132,7 x 120 cm	Art Museum, Cincinnati	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/balbi.html
12457	12457.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Nicolaes van der Borght	1620s	Oil on canvas, 201 x 141 cm	Rijksmuseum, Amsterdam	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/borght.html
12458	12458.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Isabella Brandt	c. 1621	Oil on canvas	National Gallery of Art, Washington	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/brant.html
12459	12459.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Cardinal Guido Bentivoglio	c. 1625	Oil on canvas, 195 x 147 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/cardinal.html
12460	12460.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of the Countess Castlehaven	c. 1638	Oil on canvas	Wilton House, Salisbury	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/castleha.html
12461	12461.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Virginio Cesarini	1622-23	Oil on canvas, 105 x 86 cm	The Hermitage, St. Petersburg	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/cesarini.html
12462	12462.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Charles I, King of England at the Hunt	c. 1635	Oil on canvas, 266 x 207 cm	Musée du Louvre, Paris	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/charles1.html
12463	12463.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Charles I on Horseback	c. 1635	Oil on canvas, 365 x 289 cm	National Gallery, London	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/charles2.html
12464	12464.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Equestrian Portrait of Charles I, King of England	1635-40	Oil on canvas, 123 x 85 cm	Museo del Prado, Madrid	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/charles3.html
12465	12465.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Charles V on Horseback	c. 1620	Oil on canvas, 191 x 123 cm	Galleria degli Uffizi, Florence	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/charles5.html
12466	12466.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Prince Charles Louis, Elector Palatine	1641	Oil on canvas, 107 x 93 cm	Private collection	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/charllou.html
12467	12467.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of the Painter Cornelis de Wae	c. 1627	Oil on canvas	Koninklijk Museum voor Schone Kunsten, Antwerp	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/dewae.html
12468	12468.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Diana Cecil, Countess of Oxford	1638	Oil on canvas, 107 x 86 cm	Museo del Prado, Madrid	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/diana.html
12469	12469.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Porrtrait of the Sculptor Duquesnoy (?)	1627-29	Oil on canvas, 77,5 x 61 cm	Musées Royaux des Beaux-Arts, Brussels	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/duquesno.html
12470	12470.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Marcello Durazzo	1642	Oil on canvas, 205 x 125 cm	Galleria Franchetti, Ca' d'Oro, Venice	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/durazzo.html
12471	12471.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Father Jean-Charles della Faille, S.J.	1629	Oil on canvas, 130,8 x 118,5 cm	Musées Royaux des Beaux-Arts, Brussels	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/faille.html
12472	12472.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Cornelis van der Geest	before 1620	Oil on wood, 37,5 x 32,5 cm	National Gallery, London	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/geest.html
12473	12473.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Young General	1622-27	Oil on canvas, 115,5 x 104 cm	Kunsthistorisches Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/general.html
12474	12474.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of an Old Man	c. 1618	Oil on panel, 107 x 77 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/genoese0.html
12475	12475.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	An Aristocratic Genoese	1622-26	Oil on canvas, 200 x 116 cm	Staatliche Museen, Berlin	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/genoese1.html
12476	12476.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Genoese Nobleman	1624	Oil on canvas, 131 x 101 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/genoese4.html
12477	12477.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Marchesa Elena Grimaldi	c. 1623	Oil on canvas	National Gallery of Art, Washington	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/grimaldi.html
12478	12478.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of James Hamilton	1630s	Oil on canvas	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/hamilton.html
12479	12479.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Queen Henrietta Maria	1638	Oil on canvas, 127 x 81 cm	Private collection	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/henriet1.html
12480	12480.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Queen Henrietta Maria (detail)	1638	Oil on canvas	Private collection	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/henriet2.html
12481	12481.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Queen Henrietta Maria	1638	Oil on canvas	Royal Collection, Windsor	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/henriet3.html
12482	12482.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Jacques Le Roy	1631	Oil on canvas, 118 x 101 cm	Museo Thyssen-Bornemisza, Madrid	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/leroy.html
12483	12483.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Philippe Le Roy	1630	Oil on canvas, 213 x 114 cm	Wallace Collection, London	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/leroy1.html
12484	12484.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Marie de Raet	1631	Oil on canvas, 213 x 115 cm	Wallace Collection, London	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/leroy2.html
12485	12485.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Margaret of Lorraine, Duchess of Orléans	c. 1634	Oil on canvas, 204 x 117 cm	Galleria degli Uffizi, Florence	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/lorraine.html
12486	12486.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of the Artist Marten Pepijn	-	Oil on panel, 72 x 56 cm	Koninklijk Museum voor Schone Kunsten, Antwerp	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/pepijn.html
12487	12487.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Philip, Lord Wharton	1632	Oil on canvas, 133 x 106 cm	National Gallery of Art, Washington	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/philip.html
12488	12488.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Man	1625-27	Oil on canvas, 99 x 74 cm	Private collection	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/porrt_man.html
12489	12489.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Lady	1634-35	Oil on canvas, 140 x 107 cm	Pinacoteca di Brera, Milan	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/portlady.html
12490	12490.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Gentleman	1624	Oil on canvas	Alte Pinakothek, Munich	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/portrait.html
12491	12491.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Man	1618	Oil on panel, 106 x 74 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/portrman.html
12492	12492.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Self Portrait	c. 1621	Oil on canvas, 82 x 70 cm	Alte Pinakothek, Munich	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/self.html
12493	12493.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Self-portrait with a Sunflower	c. 1632	Oil on canvas, 60 x 73 cm	Private collection	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/self_por.html
12494	12494.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Self-Portrait	c. 1632	Oil on canvas, 79 x 62 cm	Galleria degli Uffizi, Florence	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/selfpor.html
12495	12495.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Self-Portrait at the Age of Sixteen	c. 1615	Oil on wood, 26 x 20 cm	Akademie der bildenden Künste, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/selfpor1.html
12496	12496.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Self-Portrait	1622-23	Oil on canvas, 117 x 94 cm	The Hermitage, St. Petersburg	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/selfport.html
12497	12497.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Marchesa Geronima Spinola	1624-26	Oil on canvas, 226 x 152 cm	Staatliche Museen, Berlin	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/spinola.html
12498	12498.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Sir Thomas Wharton	1636-39	Oil on canvas, 217 x 128 cm	The Hermitage, St. Petersburg	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/1portrai/wharton.html
12499	12499.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Charles I of England and Henrietta of France	before 1632	Oil on canvas, 67 x 83 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/cha_henr.html
12500	12500.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Married Couple	-	Oil on canvas, 112 x 131 cm	Szépmûvészeti Múzeum, Budapest	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/couple.html
12501	12501.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	The Wife and Daughter of Colyn de Nole	-	Oil on wood, 123 x 90,5 cm	Alte Pinakothek, Munich	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/de_nole.html
12502	12502.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Sir Endymion Porter and the Artist	1632-41	Oil on canvas, 110 x 114 cm	Museo del Prado, Madrid	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/dualport.html
12503	12503.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Family Portrait	1621	Oil on canvas, 114 x 94 cm	The Hermitage, St. Petersburg	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/fam_port.html
12504	12504.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	George Gage with Two Men	1622-23	Oil on canvas, 115 x 114 cm	National Gallery, London	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/gage2men.html
12505	12505.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Wife of an Aristocratic Genoese	1624-26	Oil on canvas, 200 x 116 cm	Staatliche Museen, Berlin	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/genoese2.html
12506	12506.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Noble Genoese Lady	1621-27	Oil on canvas, 239 x 170 cm	Musée du Louvre, Paris	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/genoese3.html
12507	12507.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Thomas Killigrew and (?) William, Lord Croft	1638	Oil on canvas, 132,7 x 143,5 cm	Royal Collection, Windsor	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/killigre.html
12508	12508.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	The Lomellini Family	1626-27	Oil on canvas, 269 x 254 cm	National Gallery of Scotland, Edinburgh	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/lomellin.html
12509	12509.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Joost de Hertoghe	1635	Oil on canvas, 205 x 120 cm	Staatliche Museen, Kassel	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/marriag1.html
12510	12510.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Anna van Craesbecke	1635	Oil on canvas, 203 x 119 cm	Staatliche Museen, Kassel	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/marriag2.html
12511	12511.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Justus van Meerstraeten	1634-35	Oil on canvas, 120 x 110 cm	Staatliche Museen, Kassel	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/meerstr1.html
12512	12512.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Isabella van Assche	1634-35	Oil on canvas, 108 x 97 cm	Staatliche Museen, Kassel	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/meerstr2.html
12513	12513.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of the Princes Palatine Charles-Louis I and his Brother Robert	1637	Oil on canvas, 132 x 152 cm	Musée du Louvre, Paris	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/palatine.html
12514	12514.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Man	c. 1618	Oil on canvas, 105 x 81 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/port_man.html
12515	12515.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of a Woman	c. 1618	Oil on canvas, 105 x 82 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/port_wom.html
12516	12516.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Porzia Imperiale and Her Daughter	c. 1628	Oil on canvas, 184,5 x 134 cm	Musées Royaux des Beaux-Arts, Brussels	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/porziaim.html
12517	12517.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Double Portrait of the Painter Frans Snyders and his Wife	c. 1621	Oil on canvas, 83 x 110 cm	Staatliche Museen, Kassel	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/snyders.html
12518	12518.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Peeter Stevens	1627	Oil on canvas, 113 x 99 cm	Mauritshuis, The Hague	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/stevens1.html
12519	12519.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Anna Wake	1628	Oil on canvas, 113 x 99 cm	Mauritshuis, The Hague	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/stevens2.html
12520	12520.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Lord John and Lord Bernard Stuart	c. 1638	Oil on canvas, 238 x 146 cm	National Gallery, London	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/stuarts.html
12521	12521.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Antonio de Tassis	1634	Oil on canvas, 126 x 89 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/tassis1.html
12522	12522.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Maria de Tassis	1629-30	Oil on canvas, 128 x 92 cm	Liechtenstein Museum, Vienna	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/tassis2.html
12523	12523.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Sir George Villiers and Lady Katherine Manners as Adonis and Venus	c. 1620	Oil on canvas, 223.5 x 160 cm.	Private collection	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/villiers.html
12524	12524.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Portrait of Philadelphia and Elisabeth Wharton	1640	Oil on canvas, 162 x 130 cm	The Hermitage, St. Petersburg	painting	portrait	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/2portrai/wharton.html
12525	12525.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Abraham and Isaac	c. 1617	Oil on canvas, 119 x 178 cm	Národní Galerie, Prague	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/abraham.html
12526	12526.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	An Apostle with Folded Hands	1618-20	Paper on oak panel, 57 x 45 cm	Staatliche Museen, Berlin	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/apostle1.html
12527	12527.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	An Apostle	c. 1618	Oil on oak, 61 x 49 cm	Staatliche Museen, Berlin	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/apostle2.html
12528	12528.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	The Brazen Serpent	1618-20	Oil on canvas, 205 x 235 cm	Museo del Prado, Madrid	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/brazense.html
12529	12529.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Christ on the Cross	-	Oil on canvas	Sint-Jacobskerk, Antwerp	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/c_cross.html
12530	12530.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	The Capture of Christ	1618-20	Oil on canvas, 344 x 249 cm	Museo del Prado, Madrid	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/capture.html
12531	12531.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Crowning with Thorns	1618-20	Oil on canvas, 223 x 196 cm	Museo del Prado, Madrid	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/crowning.html
12532	12532.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Crucifixion	c. 1622	Oil on canvas	San Zaccaria, Venice	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/crucifix.html
12533	12533.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Cupid and Psyche	1639-40	Oil on canvas, 199,4 x 191,8 cm	Royal Collection, Windsor	painting	mythological	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/cupid.html
12534	12534.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Deposition	1634	Oil on panel	Alte Pinakothek, Munich	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/depositi.html
12535	12535.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Emperor Theodosius Forbidden by St Ambrose To Enter Milan Cathedral	1619-20	Oil on canvas, 149 x 113 cm	National Gallery, London	painting	historical	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/emperor.html
12536	12536.jpg	DYCK, Sir Anthony van	(b. 1599, Antwerpen, d. 1641, London)	Entry of Christ into Jerusalem	c. 1617	Oil on canvas, 151 x 229 cm	Museum of Art, Indianapolis	painting	religious	Flemish	1601-1650	http://www.wga.hu/html/d/dyck_van/3other/entryjer.html
